0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0.0,0.0,0.0,1.8602436,0.0,0.0,6.344441,18.402597,0.0,0.0,0.0,0.0,0.0,1.9229438,0.0,0.0,0.0,0.0,2.2050202,0.0,0.0,13.683434,11.9114895,0.0,0.0,27.168123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.157856,5.298376,0.0,12.582746,0.0,12.679419,0.0,5.920064,0.0,0.0,0.0,0.0,9.363232,0.0,4.066006,0.0,3.7492938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4321733
0.0,0.0,0.0,0.0,7.196551,0.0,0.0,28.810879,0.0,15.635541,0.0,23.192621,13.40023,0.0,0.0,0.0,16.458975,0.0,3.1167154,9.175448,0.0,29.173027,0.0,35.077705,0.0,0.0,25.057629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.440073,0.0,0.0,0.0,0.0,19.013256,0.0,0.0,22.00502,0.0,0.0,29.670902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.594255
7.0885286,0.0,0.0,0.0,0.0,0.0,5.6053457,0.0,11.35132,0.0,0.0,0.0,0.0,27.402447,0.0,0.0,0.0,0.0,0.0,19.621855,19.224865,2.4601574,0.0,0.0,0.0,0.0,12.870531,0.0,0.0,0.0,0.0,22.982344,2.0296285,0.0,0.0,0.0,5.525915,0.0,0.0,6.8661704,0.0,0.0,0.0,0.0,0.0,0.0,28.469328,0.0,10.360511,0.0,0.0,0.0,0.0,11.220474,0.0,0.0,0.0,5.4707284,0.0,0.0,0.0,7.945296,7.3757305,0.0
5.875843,17.035221,11.403034,5.391906,7.6897507,6.471031,11.0734215,0.0,16.126772,7.1510963,2.189505,25.454874,3.7526162,22.859764,11.761849,19.898672,5.912842,3.4404874,11.2244835,26.580145,0.0,2.1801188,7.998452,16.328465,2.297423,17.56907,11.165807,4.0237665,22.324383,10.262176,8.632268,9.121074,9.9122925,7.088242,2.6296275,13.322197,6.520574,8.342715,4.9619985,13.37878,3.9940581,0.0,14.514892,8.850039,11.034591,14.751965,2.7203999,0.0,0.0,4.8818793,4.9089355,11.927451,5.297975,21.123835,4.024349,4.682638,14.717123,11.17747,8.724333,11.902043,11.615664,0.0,6.1583185,21.471886
8.918032,0.6980412,0.0,5.28312,18.912163,6.320109,13.461251,17.389463,5.7680593,0.48562253,18.512781,0.0,0.0,4.922803,0.0,0.0,0.0,8.318739,13.873529,2.8361714,22.927294,0.0,14.660989,7.69706,8.779941,0.0,7.59735,0.0,6.5762005,0.0,0.0,0.0,0.0,10.927828,11.873868,0.0,0.0,0.0,0.0,18.057102,5.588276,0.0,8.974397,0.0,15.14459,6.1177063,0.0,7.1725755,0.6376342,0.0,22.649872,0.0,0.0,0.0,0.0,8.2706785,0.0,4.2410645,0.0,3.8733413,0.0,0.0,3.4659746,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5692666,0.0,0.0,1.1409793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.517264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.458493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8393257,0.0,2.0286512,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7374926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45483398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5883656,0.0,0.0,0.0
0.0,0.0,0.0,0.0,32.686054,0.0,0.0,10.196426,0.0,6.7870154,0.0,10.605719,13.702193,0.0,0.0,28.200293,0.0,19.547928,0.0,0.0,21.714737,0.0,21.288149,0.0,0.0,0.0,0.0,28.127165,0.0,31.872465,41.714005,18.061216,22.162876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.073233,0.0,0.0,0.0,3.3784146,0.0,0.0,0.0,37.822502,0.0,0.0,0.0,11.15768,0.0,0.0,7.9427624
0.0,7.848474,14.3477745,28.03903,19.977222,0.0,0.0,0.0,23.098427,0.0,0.0,7.8291574,26.810404,0.0,13.275052,0.0,1.5582875,15.453469,3.8261142,0.0,0.0,0.0,12.736213,0.0,15.9809885,0.0,5.487816,32.270657,0.0,0.5269622,0.0,0.0,0.0,15.742065,1.6440485,0.0,19.343267,0.0,0.0,0.0,28.558016,0.0,14.222412,2.4725618,0.0,0.0,0.0,0.0,13.981478,6.6014304,0.0,27.148226,10.519,25.851412,21.814655,0.0,0.0,9.529352,0.0,21.65897,0.0,0.0,0.0,25.806126
15.100252,12.525956,16.297247,9.504602,16.618666,11.805517,11.9874325,16.717176,8.712566,17.089289,15.895436,0.0,0.29854184,0.34807873,2.4351563,0.0,12.251805,10.749443,13.365645,8.390383,9.176336,0.0,15.011424,13.050126,0.0,5.499611,13.11392,19.545633,7.451834,13.549383,2.8364346,8.135562,1.0937674,13.181855,1.1342866,5.8590593,0.0,13.3391905,8.194033,14.657367,11.207623,2.704526,9.553791,9.726247,11.849122,13.191974,3.0768752,0.97672904,5.442438,5.5097775,15.416044,0.0,5.8646245,2.634553,19.425304,17.490938,0.0,0.0,0.9318658,0.0,15.167384,2.8167634,14.305207,3.1613512
2.151209,0.0,0.0,0.0,0.0,5.3994203,6.547065,0.0,5.8808203,0.0,0.0,0.0,24.460672,0.0,5.2242656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.427648,0.0,0.908701,9.521997,0.0,0.0,0.0,0.68625236,0.0,0.0,0.0,0.0,0.0,0.0,11.424528,3.45116,8.363129,0.0,14.45794,15.538243,13.287973,4.404636,0.6246862,0.0,0.0,0.0,12.835479,3.9887826,3.6003006,0.0,0.0,8.735958,13.635152,0.0,0.0,0.0,0.0,0.0,4.118249,26.766909,0.0
6.275772,3.5729752,0.0,0.0,0.0,0.0,12.236432,0.0,0.0,4.3873215,0.0,0.0,12.266078,0.0,0.0,13.824282,17.168234,4.9695897,0.0,7.9503975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.867556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.726974,0.0,0.0,0.0,0.0,0.0,0.374412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.831085,1.97581,0.0,0.1867562,0.0,0.0,0.0,12.445604,0.0,15.308521,7.343163,14.86603,0.0,0.0
